,constellation,losses,path_loss,antenna_gain,earth_atmospheric_losses,distance,satellite_coverage_area_km,eirp,noise,received_power,cnr,spectral_efficiency,channel_capacity,aggregate_capacity,sat_capacity
54,Starlink,10.586844510155688,170.27329044038942,36.453641902822326,10.056844510155688,572.5361290325869,101190.47619047618,66.45364190282233,-89.99782907027767,-75.72613924286193,14.271689827415742,3.841226,1920.613,30729.808,30729.807999999997
55,OneWeb,11.463546795691117,177.15256419511888,37.65988860879963,10.933546795691118,1271.645915077516,708333.3333333334,67.65988860879963,-89.99782907027767,-82.59690798799448,7.40092108228319,2.10485,526.2125,8419.4,8419.4
56,Kuiper,10.573634442345831,173.54398870643126,45.47428729899608,10.043634442345832,641.4451277013894,157407.40740740742,75.47428729899607,-89.99782907027767,-66.27335305199009,23.72447601828759,5.768987,1442.24675,23075.948,23075.948
57,Starlink,7.551927402329448,170.16240603745518,35.833005219834895,7.021927402329448,572.5361290325869,101190.47619047618,65.83300521983489,-89.99782907027767,-71.23624009610066,18.761588974177016,5.417338,2708.669,43338.704,43338.704
58,OneWeb,11.128561656839265,177.10301520582783,38.67983948116005,10.598561656839266,1271.645915077516,708333.3333333334,68.67983948116006,-89.99782907027767,-81.36168238698654,8.63614668329113,2.524739,631.18475,10098.956,10098.956
59,Kuiper,11.314778656724517,173.60904101302987,42.574317066443456,10.784778656724518,641.4451277013894,157407.40740740742,72.57431706644346,-89.99782907027767,-77.20953463170449,12.788294438573189,3.510192,877.548,14040.768,14040.768
60,Starlink,10.16404397392615,170.33939461466665,38.447776976438604,9.63404397392615,572.5361290325869,101190.47619047618,68.4477769764386,-89.99782907027767,-73.84573852244522,16.152090547832458,4.603122,2301.561,36824.976,36824.976
61,OneWeb,14.132922320240876,177.1437033966066,37.05764093395529,13.602922320240877,1271.645915077516,708333.3333333334,67.0576409339553,-89.99782907027767,-81.69899015054457,8.2988389197331,2.370043,592.51075,9480.172,9480.172
62,Kuiper,7.626889923257858,173.6657140164604,42.67827560989444,7.096889923257858,641.4451277013894,157407.40740740742,72.67827560989444,-89.99782907027767,-69.73052654350381,20.26730252677386,5.768987,1442.24675,23075.948,23075.948
63,Starlink,13.165644075182454,170.3346743689891,39.49741063409695,12.635644075182455,572.5361290325869,101190.47619047618,69.49741063409695,-89.99782907027767,-67.70755776199499,22.290271308282684,5.768987,2884.4935,46151.896,46151.896
64,OneWeb,10.468861366807726,177.11719300895192,40.94074629738111,9.938861366807727,1271.645915077516,708333.3333333334,70.94074629738111,-89.99782907027767,-79.48613443413655,10.51169463614113,2.745734,686.4335,10982.936,10982.936
65,Kuiper,15.38648056265265,173.5017236122291,43.33250006397093,14.856480562652651,641.4451277013894,157407.40740740742,73.33250006397094,-89.99782907027767,-75.82268516253245,14.175143907745223,3.841226,960.3065,15364.904,15364.903999999999
66,Starlink,11.385025210753751,170.25706385201,36.09397759133127,10.855025210753752,572.5361290325869,101190.47619047618,66.09397759133127,-89.99782907027767,-74.70117404931563,15.29665502096205,4.206428,2103.214,33651.424,33651.424
67,OneWeb,11.525517311847638,177.19646498013276,39.92245032729395,10.995517311847639,1271.645915077516,708333.3333333334,69.92245032729394,-89.99782907027767,-83.75703194594499,6.240797124332687,1.972253,493.06325,7889.012,7889.012
68,Kuiper,7.289683174355273,173.62286949870497,43.37978181256247,6.759683174355272,641.4451277013894,157407.40740740742,73.37978181256247,-89.99782907027767,-55.212162430990205,34.78566663928747,5.768987,1442.24675,23075.948,23075.948
69,Starlink,4.5246327747018915,170.18635226137428,37.0729956115852,3.9946327747018913,572.5361290325869,101190.47619047618,67.0729956115852,-89.99782907027767,-67.80336762638319,22.194461443894482,5.768987,2884.4935,46151.896,46151.896
70,OneWeb,11.304204579164395,177.11160726618158,40.022201622295526,10.774204579164396,1271.645915077516,708333.3333333334,70.02220162229553,-89.99782907027767,-80.54982946850923,9.447999601768444,2.635236,658.809,10540.944,10540.944
71,Kuiper,18.78176477296053,173.58198563882448,43.54010969636388,18.251764772960527,641.4451277013894,157407.40740740742,73.54010969636388,-89.99782907027767,-78.15926937891287,11.838559691364807,2.856231,714.05775,11424.924,11424.924
72,Starlink,12.115385666407931,170.26215531488407,38.43535326034482,11.585385666407932,572.5361290325869,101190.47619047618,68.43535326034481,-89.99782907027767,-78.28130399383569,11.716525076441982,2.856231,1428.1155,22849.848,22849.848
73,OneWeb,13.090217942968197,177.1749846810131,41.263287540299494,12.560217942968197,1271.645915077516,708333.3333333334,71.2632875402995,-89.99782907027767,-82.71059435372744,7.2872347165502305,2.10485,526.2125,8419.4,8419.4
74,Kuiper,7.711499628286355,173.5906772202428,41.46325288167348,7.181499628286355,641.4451277013894,157407.40740740742,71.46325288167348,-89.99782907027767,-64.95086364043344,25.046965429844235,5.768987,1442.24675,23075.948,23075.948
75,Starlink,6.785122352550717,170.31457817348775,37.85202757841644,6.255122352550717,572.5361290325869,101190.47619047618,67.85202757841644,-89.99782907027767,-76.94745266449824,13.050376405779431,3.620536,1810.268,28964.288,28964.288
76,OneWeb,15.845888530010015,177.13910010443192,38.25913199004114,15.315888530010016,1271.645915077516,708333.3333333334,68.25913199004114,-89.99782907027767,-85.42305983214659,4.574769238131083,1.647211,411.80275,6588.844,6588.844
77,Kuiper,14.861545360662955,173.39848011272028,43.362707297198035,14.331545360662956,641.4451277013894,157407.40740740742,73.36270729719803,-89.99782907027767,-70.82222263362952,19.175606436648152,5.593162,1398.2905,22372.648,22372.648
78,Starlink,13.314697708414137,170.31215464670447,35.94822026473257,12.784697708414138,572.5361290325869,101190.47619047618,65.94822026473257,-89.99782907027767,-89.05386668202377,0.9439623882539081,1.647211,823.6055,13177.688,13177.688
79,OneWeb,13.49332984046843,177.11567815653365,36.181380906210435,12.96332984046843,1271.645915077516,708333.3333333334,66.18138090621044,-89.99782907027767,-95.00377378423293,-5.005944713955259,1.647211,411.80275,6588.844,6588.844
80,Kuiper,10.573581897044582,173.50567824015724,44.68848668445616,10.043581897044582,641.4451277013894,157407.40740740742,74.68848668445617,-89.99782907027767,-70.56050100007106,19.43732807020662,5.593162,1398.2905,22372.648,22372.648
81,Starlink,10.042684234880175,170.11547621525602,35.40391424040492,9.512684234880176,572.5361290325869,101190.47619047618,65.40391424040493,-89.99782907027767,-76.65597610631747,13.341852963960207,3.620536,1810.268,28964.288,28964.288
82,OneWeb,14.599116575397174,177.10448150569272,37.94033744342097,14.069116575397175,1271.645915077516,708333.3333333334,67.94033744342097,-89.99782907027767,-90.21025914416835,-0.2124300738906726,1.647211,411.80275,6588.844,6588.844
83,Kuiper,13.022095018451632,173.7063484404648,42.01208889130291,12.492095018451632,641.4451277013894,157407.40740740742,72.01208889130291,-89.99782907027767,-66.62724125170357,23.37058781857411,5.768987,1442.24675,23075.948,23075.948
84,Starlink,6.468287014464312,170.17552323774544,38.99450908548924,5.938287014464311,572.5361290325869,101190.47619047618,68.99450908548924,-89.99782907027767,-62.517937795012884,27.47989127526479,5.768987,2884.4935,46151.896,46151.896
85,OneWeb,14.362322578132932,177.15619856019435,37.79169123947401,13.832322578132933,1271.645915077516,708333.3333333334,67.791691239474,-89.99782907027767,-91.00243932329359,-1.0046102530159118,1.647211,411.80275,6588.844,6588.844
86,Kuiper,9.181665104611866,173.5262973073627,44.218743976355476,8.651665104611867,641.4451277013894,157407.40740740742,74.21874397635548,-89.99782907027767,-65.51655910102211,24.481269969255564,5.768987,1442.24675,23075.948,23075.948
87,Starlink,6.78896083700243,170.2838976271981,36.13921662885861,6.25896083700243,572.5361290325869,101190.47619047618,66.1392166288586,-89.99782907027767,-82.65626874887202,7.341560321405652,2.10485,1052.425,16838.8,16838.8
88,OneWeb,14.485972581224118,177.1396223085216,37.43927521423844,13.955972581224119,1271.645915077516,708333.3333333334,67.43927521423845,-89.99782907027767,-88.50308237426151,1.4947466960161648,1.647211,411.80275,6588.844,6588.844
